#,dist(asec),prob_member,link_ref,link_comment,identifier,typ,coord1_(ICRS_J2000/2000),Mag_U,Mag_B,Mag_V,Mag_R,Mag_I,spec_type,#bib,#not,RA,Dec
115,65.26,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 1087,*iC,19 53 41.9 +18 46 42,~,~,~,~,~,~,1,0,298.424583333,18.7783333333
116,521.4,100,2011AJ....141...89S,B,[SLB2011b] 298.59664+18.78314,*,19 54 23.191 +18 46 59.27,~,~,~,~,~,~,1,0,298.596629166,18.7831305555
117,37.37,80,2008A&A...486..941A,B,Cl* NGC 6838 ASC 488,*iC,19 53 48.8 +18 47 03,~,17.59,16.83,~,~,~,1,0,298.453333333,18.7841666666
118,136.83,100,2001A&A...373..159C,B,2MASS J19533717+1847201,RG*,19 53 37.177 +18 47 20.19,~,13.29,12.01,~,10.70,~,19,0,298.404904166,18.7889416666
119,65.75,~,2008A&A...486..941A,B,NAME M J,*iC,19 53 50.628 +18 47 14.60,~,~,~,~,~,~,1,0,298.460949999,18.7873888888
120,45.23,80,2010A&A...513A..16H,S,2MASS J19534895+1847138,XB*,19 53 48.950 +18 47 13.83,16.16,15.21,14.87,~,13.61,~,3,0,298.453958333,18.787175
121,114.64,100,2009A&A...505..117C,B,2MASS J19534521+1848383,RG*,19 53 45.218 +18 48 38.31,~,16.028,14.934,~,~,~,1,0,298.438408333,18.8106416666
122,133.88,100,2009MNRAS.393..272W,B,2MASS J19533757+1847286,RG*,19 53 37.574 +18 47 28.60,~,14.447,12.762,~,~,~,32,0,298.406558333,18.7912777777
123,95.93,0,2008A&A...486..941A,B,Cl* NGC 6838 ASC 294,*iC,19 53 41.0 +18 47 41,~,17.14,16.31,~,~,~,1,0,298.420833333,18.7947222222
124,173.99,100,2013AJ....146..133M,B,2MASS J19535764+1847570,RG*,19 53 57.644 +18 47 57.09,~,14.896,13.563,~,~,~,5,0,298.490183333,18.7991916666
125,109.85,80,2008A&A...486..941A,B,Cl* NGC 6838 ASC 328,*iC,19 53 42.5 +18 45 11,~,17.22,16.52,~,~,~,1,0,298.427083333,18.7530555555
126,153.91,94,2008A&A...486..941A,B,Cl* NGC 6838 ASC 640,*iC,19 53 55.605 +18 48 08.37,~,15.46,14.39,~,~,~,3,0,298.481687499,18.802325
127,33.72,94,2008A&A...486..941A,B,Cl* NGC 6838 ASC 5843,*iC,19 53 47.371 +18 47 16.41,~,15.24,14.22,~,~,~,3,0,298.447379166,18.7878916666
128,55.27,94,2008A&A...486..941A,B,Cl* NGC 6838 ZDA 12,*iC,19 53 47.723 +18 47 37.52,~,15.32,14.26,~,~,~,7,0,298.448845833,18.7937555555
129,56.62,80,2010A&A...513A..16H,S,[HBE2010] s03b,XB?,19 53 43.62 +18 47 24.4,19.32,19.09,~,~,18.11,~,1,0,298.431749999,18.7901111111
130,136.84,96,2008A&A...486..941A,B,Cl* NGC 6838 ASC 78,*iC,19 53 53.5 +18 48 19,~,18.87,18.08,~,~,~,1,0,298.472916666,18.8052777777
131,175.53,100,2008ApJ...682.1217K,B,[KGS2008] J195358.6+184610,RG*,19 53 58.6 +18 46 10,~,16.53,15.70,~,14.74,~,1,0,298.494166666,18.7694444444
132,118.15,51,2008A&A...486..941A,B,Cl* NGC 6838 ASC 13,*iC,19 53 38.177 +18 46 49.76,~,15.54,14.08,~,~,~,9,0,298.409070833,18.7804888888
133,63.09,100,2011AJ....142..126S,B,[SLB2011b] 298.44854+18.76227,RG*,19 53 47.65 +18 45 44.2,~,15.12,14.22,~,13.23,~,7,0,298.448541666,18.7622777777
134,81.13,100,2001A&A...373..159C,B,2MASS J19534827+1848021,RG*,19 53 48.274 +18 48 02.17,~,14.080,12.346,~,~,~,33,0,298.451141666,18.8006027777
135,32.26,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 10218,*iC,19 53 44.6 +18 47 03,~,~,16.03,~,~,~,4,0,298.435833333,18.7841666666
136,68.26,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 387,*iC,19 53 45.0 +18 47 50,~,~,~,~,~,~,1,0,298.437499999,18.7972222222
137,103.77,94,2008A&A...486..941A,B,Cl* NGC 6838 ASC 242,*iC,19 53 39.2 +18 46 38,~,18.55,17.56,~,~,~,1,0,298.413333333,18.7772222222
138,66.78,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 7014,*iC,19 53 51.0 +18 47 04,~,~,~,~,~,~,1,0,298.4625,18.7844444444
139,36.15,0,2008A&A...486..941A,B,Cl* NGC 6838 KC 252,*iC,19 53 48.4 +18 47 09,~,16.07,15.38,~,~,~,2,0,298.451666666,18.7858333333
140,140.0,100,2008ApJ...682.1217K,B,[KGS2008] J195352.3+184452,RG*,19 53 52.3 +18 44 52,~,14.29,13.29,~,12.16,~,1,0,298.467916666,18.7477777777
141,141.15,100,2008ApJ...682.1217K,B,[KGS2008] J195340.1+184457,RG*,19 53 40.1 +18 44 57,~,15.88,14.97,~,13.94,~,1,0,298.417083333,18.7491666666
142,164.0,100,2009A&A...505..117C,B,2MASS J19533961+1844333,RG*,19 53 39.619 +18 44 33.30,~,14.91,13.97,~,12.89,~,2,0,298.415079166,18.7425833333
143,76.08,50,2010A&A...513A..16H,S,[HBE2010] s14c,?,19 53 47.47 +18 47 59.9,~,~,~,~,23.46,~,1,0,298.447791666,18.7999722222
144,63.09,100,2011AJ....141...89S,B,[SLB2011b] 298.44854+18.76227,RG*,19 53 47.65 +18 45 44.2,~,15.12,14.22,~,13.23,~,7,0,298.448541666,18.7622777777
145,71.43,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 12299,*iC,19 53 51.3 +18 47 06,~,~,~,~,~,~,1,0,298.463749999,18.785
146,76.18,20,2010A&A...513A..16H,S,[HBE2010] s14a,?,19 53 47.43 +18 48 00.1,~,~,~,~,20.87,~,1,0,298.447624999,18.8000277777
147,30.08,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 6079,*iC,19 53 48.0 +18 46 24,~,~,~,~,~,~,1,0,298.449999999,18.7733333333
148,115.46,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 6868,*iC,19 53 50.8 +18 48 23,~,~,~,~,~,~,1,0,298.461666666,18.8063888888
149,26.43,100,2001A&A...373..159C,B,Cl* NGC 6838 AH I,*iC,19 53 44.77 +18 46 35.0,~,13.94,12.38,~,~,~,23,0,298.436541666,18.7763888888
150,81.58,80,2010A&A...513A..16H,S,[HBE2010] s12,XB?,19 53 47.23 +18 48 06.0,16.40,15.60,~,~,14.82,~,1,0,298.446791666,18.8016666666
151,145.64,100,2008ApJ...682.1217K,B,[KGS2008] J195355.7+184751,RG*,19 53 55.6 +18 47 52,~,15.18,14.26,~,13.24,~,5,0,298.481666666,18.7977777777
152,52.91,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 6761,*iC,19 53 50.2 +18 46 50,~,~,~,~,~,~,1,0,298.459166666,18.7805555555
153,42.92,80,2008A&A...486..941A,B,Cl* NGC 6838 ASC 888,*iC,19 53 49.0 +18 47 09,~,18.76,17.39,~,~,~,1,0,298.454166666,18.7858333333
154,91.64,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 2045,*iC,19 53 40.3 +18 47 11,~,~,~,~,~,~,1,0,298.417916666,18.7863888888
155,126.12,8,2008A&A...486..941A,B,Cl* NGC 6838 KC 298,*iC,19 53 38.6 +18 47 43,~,17.37,16.15,~,~,~,2,0,298.410833333,18.7952777777
156,135.69,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 574,*iC,19 53 52.8 +18 48 27,~,~,~,~,~,~,1,0,298.469999999,18.8075
157,52.35,100,2008ApJ...682.1217K,B,2MASS J19535011+1846355,RG*,19 53 50.114 +18 46 35.55,~,15.06,14.12,~,13.10,~,3,0,298.458808333,18.7765416666
158,70.32,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 1815,*iC,19 53 51.4 +18 46 36,~,~,~,~,~,~,1,0,298.464166666,18.7766666666
159,196.1,100,2009A&A...505..139C,B,2MASS J19533986+1843530,RG*,19 53 39.868 +18 43 53.03,~,14.59,13.01,~,~,~,34,0,298.416116666,18.7313972222
160,96.05,100,2013AJ....146..133M,B,2MASS J19535325+1846471,AB*,19 53 53.252 +18 46 47.13,~,14.03,12.28,~,~,A...,46,0,298.471883333,18.7797583333
161,23.93,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 5412,*iC,19 53 46.0 +18 47 08,~,~,~,~,~,~,1,0,298.441666666,18.7855555555
162,170.94,85,2008A&A...486..941A,B,Cl* NGC 6838 KC 152,*iC,19 53 39.8 +18 44 23,~,16.29,15.03,~,~,~,3,0,298.415833333,18.7397222222
163,221.85,100,2009MNRAS.393..272W,B,2MASS J19535983+1844498,RG*,19 53 59.836 +18 44 49.83,~,~,~,~,~,~,1,0,298.499316666,18.7471750000
164,37.21,100,2009A&A...505..117C,B,2MASS J19534407+1846596,RG*,19 53 44.080 +18 46 59.69,~,14.51,13.50,~,12.42,~,5,0,298.433666666,18.7832472222
165,114.01,80,2008A&A...486..941A,B,Cl* NGC 6838 ASC 2984,*iC,19 53 38.5 +18 46 34,~,17.86,17.02,~,~,~,1,0,298.410416666,18.7761111111
166,136.19,97,2008A&A...486..941A,B,Cl* NGC 6838 ASC 619,*iC,19 53 54.5 +18 48 00,~,18.74,17.94,~,~,~,1,0,298.477083333,18.8
167,45.79,100,2009A&A...505..117C,B,2MASS J19534908+1846179,RG*,19 53 49.086 +18 46 17.95,~,15.936,14.868,~,~,~,3,0,298.454525,18.7716527777
168,119.58,100,2009A&A...505..117C,B,2MASS J19534854+1844491,RG*,19 53 48.545 +18 44 49.14,~,15.65,14.49,~,~,~,18,0,298.452270833,18.7469833333
169,96.05,100,2001A&A...373..159C,B,2MASS J19535325+1846471,AB*,19 53 53.252 +18 46 47.13,~,14.03,12.28,~,~,A...,46,0,298.471883333,18.7797583333
170,39.09,20,2010A&A...513A..16H,S,[HBE2010] s16,X,19 53 48.02 +18 47 17.6,19.9,18.62,~,~,16.88,~,1,0,298.450083333,18.7882222222
171,44.03,100,2009A&A...505..117C,B,2MASS J19534467+1846093,RG*,19 53 44.677 +18 46 09.38,~,15.76,14.61,~,~,~,3,0,298.436154166,18.7692722222
172,9.59,50,2010A&A...513A..16H,S,[HBE2010] s10,X,19 53 46.68 +18 46 35.9,~,~,~,~,23.4,~,1,0,298.444499999,18.7766388888
173,331.52,100,2008ApJ...682.1217K,B,[KGS2008] J195409.6+184732,RG*,19 54 09.6 +18 47 32,~,14.41,13.56,~,12.63,~,1,0,298.539999999,18.7922222222
174,149.03,97,2008A&A...486..941A,B,Cl* NGC 6838 ASC 1035,*iC,19 53 36.0 +18 46 41,~,18.52,17.57,~,~,~,1,0,298.4,18.7780555555
175,86.08,93,2008A&A...486..941A,B,Cl* NGC 6838 ASC 1181,*iC,19 53 51.1 +18 47 41,~,18.59,17.79,~,~,~,1,0,298.462916666,18.7947222222
176,83.13,0,2008A&A...486..941A,B,Cl* NGC 6838 KC 363,*iC,19 53 52.3 +18 46 35,~,17.79,16.36,~,~,~,2,0,298.467916666,18.7763888888
177,160.85,100,2009A&A...505..117C,B,2MASS J19533854+1844505,RG*,19 53 38.541 +18 44 50.53,~,15.904,14.779,~,~,~,1,0,298.410587499,18.7473694444
178,2.08,80,2010A&A...513A..16H,S,[HBE2010] s07,XB?,19 53 46.45 +18 46 47.1,16.26,15.16,~,~,13.89,~,1,0,298.443541666,18.77975
179,111.82,90,2008A&A...486..941A,B,Cl* NGC 6838 ASC 6548,*iC,19 53 49.4 +18 48 29,~,20.9,19.85,~,~,~,1,0,298.455833333,18.8080555555
180,343.3,100,2009MNRAS.393..272W,B,2MASS J19532342+1845023,RG*,19 53 23.427 +18 45 02.33,~,~,~,~,~,~,1,0,298.347612499,18.7506472222
181,130.02,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 1818,*iC,19 53 51.9 +18 48 30,~,~,~,~,~,~,1,0,298.466249999,18.8083333333
182,327.86,100,2011AJ....141...89S,B,BSNS 72,*,19 53 57.06 +18 51 36.6,~,~,~,~,~,~,2,0,298.487749999,18.8601666666
183,152.58,97,2008A&A...486..941A,B,Cl* NGC 6838 ASC 1926,*iC,19 53 36.147 +18 47 26.40,~,18.29,17.28,16.400,~,~,1,0,298.400612499,18.7906666666
184,10.11,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 439,*iC,19 53 46.8 +18 46 36,~,~,~,~,~,~,1,0,298.445,18.7766666666
185,41.28,100,2001A&A...373..159C,B,2MASS J19534615+1847261,RG*,19 53 46.15 +18 47 26.1,~,14.634,13.132,~,~,G...,34,0,298.442291666,18.7905833333
186,20.4,81,2008A&A...486..941A,B,2MASS J19534525+1846553,AB*,19 53 45.25 +18 46 55.4,~,13.52,12.27,~,10.95,A...,25,0,298.438541666,18.7820555555
187,45.98,50,2010A&A...513A..16H,S,[HBE2010] s05,X,19 53 44.39 +18 46 10.1,~,~,~,~,21.79,~,1,0,298.434958333,18.7694722222
188,123.75,0,2008A&A...486..941A,B,Cl* NGC 6838 KC 128,*iC,19 53 38.242 +18 47 25.03,~,16.56,15.19,~,~,~,2,0,298.409341666,18.7902861111
189,295.32,100,2009A&A...505..117C,B,2MASS J19534463+1851392,RG*,19 53 44.634 +18 51 39.24,~,15.497,14.257,~,~,G9III,5,0,298.435975,18.8609
190,121.56,80,2010A&A...513A..16H,S,[HBE2010] s54a,XB?,19 53 50.98 +18 48 28.6,~,~,~,~,14.46,~,1,0,298.462416666,18.8079444444
191,248.02,100,2011AJ....141...89S,B,2MASS J19534969+1850489,*,19 53 49.70 +18 50 48.9,~,~,13.44,~,~,G8III,3,0,298.457083333,18.8469166666
192,377.21,100,2008ApJ...682.1217K,B,[KGS2008] J195412.8+184737,RG*,19 54 12.8 +18 47 37,~,14.53,13.68,~,12.73,~,1,0,298.553333333,18.7936111111
193,107.67,93,2008A&A...486..941A,B,2MASS J19535150+1848059,RG*,19 53 51.501 +18 48 05.91,~,14.081,12.339,9.7,~,M0:,32,0,298.4645875,18.8016416666
194,115.84,100,2008ApJ...682.1217K,B,2MASS J19534980+1844592,RG*,19 53 49.820 +18 44 59.36,~,17.09,15.99,~,14.36,~,5,0,298.457583333,18.7498222222
195,131.56,89,2008A&A...486..941A,B,2MASS J19534178+1848384,RG*,19 53 41.788 +18 48 38.46,~,15.9,14.59,~,~,G...,18,0,298.424116666,18.8106833333
196,105.59,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 1934,*iC,19 53 39.3 +18 47 12,~,~,~,~,~,~,1,0,298.413749999,18.7866666666
197,27.49,80,2010A&A...513A..16H,S,[HBE2010] s06,XB?,19 53 45.17 +18 46 25.0,~,~,~,~,16.91,~,1,0,298.438208333,18.7736111111
198,96.05,100,2009MNRAS.393..272W,B,2MASS J19535325+1846471,AB*,19 53 53.252 +18 46 47.13,~,14.03,12.28,~,~,A...,46,0,298.471883333,18.7797583333
199,234.56,100,2008ApJ...682.1217K,B,[KGS2008] J195331.1+184520,RG*,19 53 31.1 +18 45 20,~,15.62,14.66,~,13.64,~,1,0,298.379583333,18.7555555555
200,169.01,100,2009MNRAS.393..272W,B,2MASS J19533470+1846213,RG*,19 53 34.707 +18 46 21.39,~,~,~,~,~,~,1,0,298.394612499,18.7726083333
201,84.46,80,2008A&A...486..941A,B,Cl* NGC 6838 ASC 1468,*iC,19 53 40.605 +18 46 57.28,~,18.11,17.30,~,~,~,1,0,298.419187499,18.7825777777
202,42.28,81,2008A&A...486..941A,B,Cl* NGC 6838 KC 234,*iC,19 53 45.2 +18 46 07,~,15.71,15.59,~,~,~,2,0,298.438333333,18.7686111111
203,13.41,64,2008A&A...486..941A,B,2MASS J19534721+1846537,RG*,19 53 47.211 +18 46 53.76,~,14.610,13.131,~,~,~,14,0,298.4467125,18.7815999999
204,171.98,100,2008ApJ...682.1217K,B,[KGS2008] J195334.4+184655,RG*,19 53 34.4 +18 46 55,~,15.26,14.30,~,13.22,~,1,0,298.393333333,18.7819444444
205,117.33,100,2009A&A...505..117C,B,2MASS J19534274+1845004,RG*,19 53 42.750 +18 45 00.48,~,14.94,14.04,~,13.04,~,5,0,298.428124999,18.7501333333
206,89.3,20,2010A&A...513A..16H,S,[HBE2010] s28a,?,19 53 52.74 +18 46 35.3,~,~,~,~,18.81,~,1,0,298.46975,18.7764722222
207,107.57,50,2010A&A...513A..16H,S,[HBE2010] s41,X,19 53 40.30 +18 47 47.1,~,~,~,~,20.77,~,1,0,298.417916666,18.7964166666
208,20.4,100,2008ApJ...682.1217K,B,2MASS J19534525+1846553,AB*,19 53 45.25 +18 46 55.4,~,13.52,12.27,~,10.95,A...,25,0,298.438541666,18.7820555555
209,159.03,100,2008ApJ...682.1217K,B,Cl* NGC 6838 KC 169,RG*,19 53 54.749 +18 44 57.72,~,14.38,13.57,14.06,12.60,~,12,1,298.478120833,18.7493666666
210,59.15,100,2008ApJ...682.1217K,B,[KGS2008] J195349.1+184559,RG*,19 53 49.1 +18 45 59,~,13.55,12.51,~,11.40,~,1,0,298.454583333,18.7663888888
211,188.31,100,2009A&A...505..117C,B,2MASS J19535276+1843591,RG*,19 53 52.763 +18 43 59.20,~,16.056,14.954,~,~,~,1,0,298.469845833,18.7331111111
212,122.72,100,2009A&A...505..117C,B,2MASS J19534668+1844424,RG*,19 53 46.682 +18 44 42.41,~,16.15,14.95,~,~,~,5,0,298.444508333,18.7451138888
213,101.41,100,2009A&A...505..139C,B,2MASS J19535351+1847033,RG*,19 53 53.514 +18 47 03.36,~,14.183,12.393,~,~,M3,21,0,298.472974999,18.7842666666
214,324.97,0,2009MNRAS.393..272W,B,BSNS 115,*,19 54 03.345 +18 50 24.93,~,~,14.99,~,~,K1.5III,3,0,298.513937499,18.8402583333
215,107.67,100,2001A&A...373..159C,B,2MASS J19535150+1848059,RG*,19 53 51.501 +18 48 05.91,~,14.081,12.339,9.7,~,M0:,32,0,298.4645875,18.8016416666
216,131.61,84,2008A&A...486..941A,B,Cl* NGC 6838 ASC 7677,*iC,19 53 53.8 +18 48 06,~,19,18.14,~,~,~,1,0,298.474166666,18.8016666666
217,295.41,100,2011AJ....141...89S,B,[SLB2011b] 298.52807+18.76042,*,19 54 06.736 +18 45 37.40,~,~,~,~,~,~,1,0,298.528066666,18.7603888888
218,164.0,95,2008A&A...486..941A,B,Cl* NGC 6838 KC 119,*iC,19 53 39.625 +18 48 56.98,~,15.63,14.52,~,~,~,2,0,298.415104166,18.8158277777
219,52.35,~,2008A&A...486..941A,B,2MASS J19535011+1846355,RG*,19 53 50.114 +18 46 35.55,~,15.06,14.12,~,13.10,~,3,0,298.458808333,18.7765416666
220,64.73,~,2008A&A...486..941A,B,2MASS J19534246+1847155,*iC,19 53 42.47 +18 47 15.6,~,~,~,~,~,~,0,0,298.426958333,18.7876666666
221,81.13,94,2008A&A...486..941A,B,2MASS J19534827+1848021,RG*,19 53 48.274 +18 48 02.17,~,14.080,12.346,~,~,~,33,0,298.451141666,18.8006027777
222,84.08,100,2008ApJ...682.1217K,B,[KGS2008] J195343.2+184755,RG*,19 53 43.2 +18 47 55,~,15.40,14.56,~,13.62,~,5,0,298.429999999,18.7986111111
223,164.0,100,2008ApJ...682.1217K,B,2MASS J19533961+1844333,RG*,19 53 39.619 +18 44 33.30,~,14.91,13.97,~,12.89,~,2,0,298.415079166,18.7425833333
224,48.08,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 813,*iC,19 53 43.3 +18 46 29,~,~,~,~,~,~,1,0,298.430416666,18.7747222222
225,98.59,0,2010A&A...513A..16H,S,[HBE2010] s49b,?,19 53 44.51 +18 48 19.6,~,~,~,~,18.35,~,1,0,298.435458333,18.8054444444
226,16.7,80,2008A&A...486..941A,B,Cl* NGC 6838 ASC 51,*iC,19 53 47.3 +18 46 33,~,18.01,17.30,~,~,~,1,0,298.447083333,18.7758333333
227,132.83,0,2008A&A...486..941A,B,Cl* NGC 6838 ASC 1219,*iC,19 53 54.4 +18 47 56,~,18.9,17.92,~,~,~,1,0,298.476666666,18.7988888888
228,188.04,100,2009A&A...505..117C,B,2MASS J19534990+1849467,RG*,19 53 49.905 +18 49 46.78,~,15.764,14.593,~,~,~,1,0,298.457937499,18.8296611111
229,145.64,85,2008A&A...486..941A,B,[KGS2008] J195355.7+184751,RG*,19 53 55.6 +18 47 52,~,15.18,14.26,~,13.24,~,5,0,298.481666666,18.7977777777
